,text,sentiment
317,lay in bed til workkk oh the life definitely pinch a nerve,negative
318,today be a busy day exhaust,negative
319,i be go to go on sunday but now ive get too much go on that weekend,neutral
320,sorry to hear ur flight get cancel that blow,negative
321,ohh my tooth be hurts ohh im sad it very hurt,negative
322,before i get too distracted id like to thank my new follower for take the trouble to follow me and to my others feelin the love,positive
323,u think u have bill haii just finish pay mine thats y im broke,negative
324,not sure it didnt say it be 2 big i jst saw the pic of u on ur last bday you look so pretty i miss you,neutral
325,sore throat plan the tet out to marwell thoughgood time,neutral
326,mcfly gig last nightt omg it be amazin didnt sit down through the whole thing mcfly do you see me and ma best mate we be in tutu,positive
327,2 day without sleep and now a migraine i think life postr01 be mean to be relax,negative
328,there,neutral
329,suck,negative
330,whens the sway sway winner announce,neutral
331,k will check it out,neutral
332,do pretty well up and wide awake,positive
333,i want to wake up early and get a coffee tomorrow today it go to be a busyy day but have to keep write booo whoo,neutral
334,i miss daddy and mommy,negative
335,my dog be officially depressed that my brother dog be go he doesnt want to go outside and when we do he play halfheartedly,negative
336,i just realize that i cant forward text msg with my iphone,neutral
337,my frist post off to find a new car for my parent excite,positive
338,argh noo miss the killer on wossy that suck miss out on brandon total failure anyone know if it repeat must investigate,negative
339,seriously bore without anyone to talk to but not tired enough for sleep,negative
340,i be lose please help me find a good home,negative
341,it a peter gordon morning and i go to piece and i wan na hide go to piece and i almost die ever httpblipfm5yk38,neutral
342,ok so ive now get a bit of a bad back after lift all drum hardware into my car downer,negative
343,lmao smh that one throw me off,neutral
344,oh nice go,positive
345,be get ready for work work all weekend,neutral
346,gon na celebrate mother day with the family but gon na start the partying tonite,positive
347,i agree with you,positive
348,i only do computer be hopeless at everything else,negative
349,90 degree gross sky and thunderstormsperfect match for my mood lol,positive
350,_2nd aww thanks,positive
351,sorry rb be on ps3 for me,negative
352,i saw amazing heeels but they be too big,neutral
353,i just stick my finger down my throat and there be a bunch of bump on my tongue throat,negative
354,dang last url go down httpblipfm7aigm,negative
355,ohoh i miss all ur tweet im gon na have to stay awake all night to see the announcement now time difference,negative
356,damnit all that suck you be one of the one i think id drag back lol,negative
357,my bos shes move to nyc,neutral
358,this be sooo crazy i have fever,negative
359,be spend her saturday morning take note for a research essay because some stupid recall the book im use not fair,negative
360,i think i need some new friend,neutral
361,look forward to your gig in ireland see ya there,neutral
362,i watch a movie name adimurie,positive
363,aww you loooove me,positive
364,be hungry twitter i want food,neutral
365,awesome lucky you,positive
366,yea i should know but tell me everything p send me direct message tell haha,neutral
367,haha im jewish i love that one,positive
368,have a great time out in the beer garden wit the boyos i think the sun get to me a bit though feel a bit ill,neutral
369,lm on 3 day too matt no fun this weekend,negative
370,u really dont think so maybe ur rightlol btw what phone u use think u tell me b4i might have an app for u,neutral
371,i feel your pain mine be the same way,negative
372,come home in two day,neutral
373,sadly no it didnt come with one,negative
374,cant wait to see my boy tomorrow,positive
375,ehhh no just a check up i have a dentist app next week though get my molar pulledroot canal,neutral
376,aww i miss drive down elmwood,negative
377,omg wango tango be awsome i love my baby for take me,positive
378,version 2 of our live interactive transsiberian ticket planner be launch,positive
379,_30439 i really wish i could go,positive
380,yeah real hard but i know youll get by with it smile,neutral
381,im 25 in december thats not good at all next big birthday be 30 after 21 it fly by for sure,negative
382,this have make my night way too funny,positive
383,woo cavs happy mother day,positive
384,i make that same face when i get home and your mom be watch soap,neutral
385,i have to go to work now,neutral
386,i cant believe you go and get boba without me,neutral
387,and to you too how be you today,neutral
388,thanks for the warm welcome we didnt make plan because our arrival time be so up in the air,positive
389,19 day and count,neutral
390,sorry friend im swamp with deadline right now and we have family visit to boot no charade for me,negative
391,brainfreeze,neutral
392,just discover a shortcoming of gravity when you use twitpic integrate it doesnt subtract the pic url from the 140 character limit,neutral
393,my sunburn be peel,negative
394,perky purple nail polish isnt a perky when it chipped,neutral
395,httptwitpiccom4sx96 before they put a camera in the smoker pit i can no longer vandalize that door without be catch,neutral
396,lay alone since mooks soo comfy in his fn play pen i think it be ill at first now i dont have no one to cuddle with,negative
397,i hate the dentist,negative
398,nothing aim at you just join insorry,negative
399,im take a twitter break cell be die,negative
400,qood morninq,neutral
401,write my english original writing storyyyyy and listen to a little respect by erasure aaaaaah,neutral
402,need more follower,neutral
403,i wish i could get my nail do stupid job,negative
404,the little wormy from labyrinth sadly pass away today but it ok a he still around in a happy ghost form aww httptwitpiccom67aim,neutral
405,the no pant idea could be the new attempt worldwide to attract business back to the airline,neutral
406,have a good one,positive
407,yep infact she be popular miss india 99 talented film actress and lot more,positive
408,dosent want to go to work tomorrow,negative
409,daniel have win dsds his voice be great,positive
410,i need blood o negative,neutral
411,be hop to go to red lobster this weekend,neutral
412,_x_atl u mean jack barakats wow so have u ever go to his house hehe i mean ur ssoo lucky to have the address,positive
413,i sure do hope it become 420 this afternoon,positive
414,it mean that you be now famous congrats,positive
415,my phone pass away yesterday he jump off the table search for a new phone,negative
416,i have such fantastic friend include several one meet through here thanks for be in my life you be such amazing people,positive
417,tamlyn wish she be as cool a my sock draw,positive
418,so no rice or crusty bread with the chili aawww,neutral
419,we be of like mind this even my dear,neutral
420,come and save me from my packing please,neutral
421,yes i love tea if that make me typically english then so be it,positive
422,a mouth for sure,positive
423,_dec0de i finally just have 1 hour of history at 300 pm but i go to my highschool at 800 be to make some homework with a friend,neutral
424,pancake with lemon and sugar thanks,positive
425,si no bueno i guess i just dont entertain him,negative
426,im so hunrgy right now and these heel kill me i can hardly walk in them,negative
427,both electronic key stop work there be no keyhole cant get in my car so much for technology,negative
428,yay three follower good to know more than one person in this big wide world like fishies,positive
429,my name be tony not hey poor tony,negative
430,goodmorning,positive
431,take a shift tomorrow i dont really feel like work right now,negative
432,i love mine too happy motherãââ½s day to your mom john taylor much love to you too,positive
433,saw a black snake in the garden go back for a picture and it be go,neutral
434,httptwitpiccom4wukt we buy ludi her own rug dog be the best,positive
435,no waterfront anymore faccia luna and clarendon will have to do,negative
436,love her mum very much happy mother day to all the wonderful mother out there,positive
437,slip up and catch the flu feeling like poop,negative
438,i have an urge to play wow but i have to wait 2 week til im at my dad 547days til mcfly im so excited l,positive
439,ok the passenger no one be alive theyre all dead you just dont know it til the end then you cry,negative
440,discover and be share on g reader with me and didnt even know it sigh im such a g reader newb,neutral
441,be chill out tonite so can not spew venom or write funny seem like these be the only 2 style she have,neutral
442,if u do please pray 4 me lord know i need it,neutral
443,aaaaaw i want to live in the usa,neutral
444,morning tweeple,positive
445,hey i didnt get any,neutral
446,now you only have 2 hour to sleep rest if you need it,positive
447,that make my day so much well it be a rough one do i mention i love the new photo,neutral
448,i dont want to sit at home on prom night someone hang out with me,negative
449,be head home from foot surgery and wish she have a boyfriend to come over and cuddle with,positive
450,concert tonight chackin out and not come tomorrow,neutral
451,what happen i thought you be come back today,neutral
452,lol dammit well then next time then,negative
453,lol just dont ever forget me,positive
454,still jealous,negative
455,me at forever 21 ethan couldnt be there,negative
456,now im sad but im not give in firsti didnt do nothing,negative
457,this week of mine be not easy but finally it over,negative
458,wow what a beautiful picture and by the wayi be straightjust want to let you know bella,positive
459,in arch draw check out mvccs cad degree look good to me,positive
460,there be people and then there be pencil some be sharp some be not and some can be sharpen my pencil philosophy,neutral
461,just about to go home im usually mr positive but this have be one of those daze well 15 min until tomorrow,neutral
462,but you always have lee let go to paris,neutral
463,you know you want to come keep me company whilst mum at her friend for the night it such a nice evening,positive
464,cook with my dad have lot of fun in the kitchen together,positive
465,bounce rush make me feel nauseous,negative
466,off to woolsery this morning to hopefully see north molton u16 clinch the north devon league title lovely day for it,positive
467,play singstar without my fave duetter,negative
468,youre miss out bb im such a cereal nut i think i like every kind available,positive
469,thats just weird oh and what be it you be draw for me,negative
470,just wake up o mum sing to her new gnr cd replacement i buy because im a good daughter,positive
471,the bird be out oh man thats not cool i didnt sleep yet for the night,negative
472,250 mile down only 1750 to go thats ok u2 on the radio alwas help,positive
473,my street fighter iv skill be lack cant beat seth on easy,negative
474,fil 461 with cool people like me,positive
475,good morning work and then it espns sunday night baseball hopefully it wont get rain out,positive
476,i think it under a honeymoon by the good life either that or it under a honey moon by joseph arthur,neutral
477,my son get sting by a bug for the first time his little finger be slightly swollen,negative
478,it be hour ago i come in and it only now i realise when i go to buy something online,neutral
479,oh just refer to our lil exchange on lj with regard to twitter archive posting,neutral
480,bump dj opus in the drunk in the car lmao dont act like u dont know,negative
481,why kiss the foot of the people who kick you when you can be anything that you want to morning everyone hope you have the best day ever,positive
482,heres a brief preview omg james be creepy in that role im scar of him,negative
483,im miss crab leg and attend my go away instead,negative
484,hick be mean,negative
485,gettn ready to take a trip to jersey my dad not do so good he need a new heartwhoeva see this please say a prayer for my dad,negative
486,back soon need to run to the shop and cut the grass,neutral
487,im up i have a plan to transform my bedroom today random,neutral
488,home until tomorrow do my running and spin now time for chiropractor laundry shopping and visit family miss nathan,negative
489,thats another sponsor,neutral
490,and most of u be go to be stick in an office some without window,negative
491,no it not sad should make you proud,negative
492,sorry well try to keep it down,negative
493,be home alone do hw,neutral
494,accord to a quarter of family under six live in poverty,negative
495,the plan to not spend money be not go well,negative
496,upload all my bamboozle picture of facebook,neutral
497,congratulation you guy finish a month early than we do booo,positive
498,actually i wish i be back in tahoe i miss it there,negative
